base_currency,quote_currency,bid,ask,midpoint
NZD,AUD,0.913125,0.913392,0.913258
NZD,BRL,2.49302,2.49521,2.49412
NZD,CAD,0.832689,0.832986,0.832838
NZD,CHF,0.638265,0.638524,0.638394
NZD,CNY,4.41863,4.42191,4.42027
NZD,DKK,4.16874,4.17068,4.16971
NZD,EUR,0.558903,0.559097,0.559
NZD,GBP,0.491405,0.49158,0.491492
NZD,HKD,5.0421,5.04376,5.04293
NZD,INR,47.7684,47.8471,47.8078
NZD,JPY,73.1233,73.1481,73.1357
NZD,KRW,728.457,729.769,729.113
NZD,MXN,12.1932,12.1992,12.1962
NZD,MYR,2.67066,2.67386,2.67226
NZD,NOK,5.32012,5.32398,5.32205
NZD,NZD,1,1,1
NZD,PLN,2.40898,2.41102,2.41
NZD,RUB,42.8989,42.9357,42.9173
NZD,SEK,5.84056,5.84381,5.84218
NZD,SGD,0.889485,0.889854,0.88967
NZD,THB,21.0865,21.1687,21.1276
NZD,TRY,3.94911,3.95732,3.95322
NZD,TWD,19.8909,19.9097,19.9003
NZD,USD,0.64351,0.64366,0.643585
NZD,ZAR,9.52971,9.53911,9.53441
PLN,AUD,0.378815,0.379117,0.378966
PLN,BRL,1.03425,1.03555,1.0349
PLN,CAD,0.345449,0.345703,0.345576
PLN,CHF,0.264791,0.264998,0.264894
PLN,CNY,1.83311,1.83517,1.83414
PLN,DKK,1.72944,1.7309,1.73017
PLN,EUR,0.231863,0.23202,0.231942
PLN,GBP,0.203864,0.204014,0.203939
PLN,HKD,2.09176,2.09325,2.0925
PLN,INR,19.8172,19.8574,19.8373
PLN,JPY,30.3359,30.3577,30.3468
PLN,KRW,302.207,302.866,302.536
PLN,MXN,5.05849,5.06289,5.06069
PLN,MYR,1.10795,1.1097,1.10882
PLN,NOK,2.2071,2.20954,2.20832
PLN,NZD,0.414763,0.415114,0.414938
PLN,PLN,1,1,1
PLN,RUB,17.797,17.819,17.808
PLN,SEK,2.42301,2.42528,2.42414
PLN,SGD,0.369012,0.369304,0.369158
PLN,THB,8.74795,8.78536,8.76666
PLN,TRY,1.63832,1.64235,1.64034
PLN,TWD,8.25193,8.26286,8.2574
PLN,USD,0.266966,0.26713,0.267048
PLN,ZAR,3.95349,3.95889,3.95619
RUB,AUD,0.021272,0.0212893,0.0212806
RUB,BRL,0.0580776,0.0581514,0.0581145
RUB,CAD,0.0193984,0.0194129,0.0194056
RUB,CHF,0.0148691,0.0148809,0.014875
RUB,CNY,0.102937,0.103054,0.102996
RUB,DKK,0.0971152,0.0971985,0.0971568
RUB,EUR,0.0130203,0.0130299,0.0130251
RUB,GBP,0.0114478,0.0114564,0.0114521
RUB,HKD,0.117461,0.117546,0.117504
RUB,INR,1.11282,1.11509,1.11396
RUB,JPY,1.70349,1.70473,1.70411
RUB,KRW,16.9702,17.0074,16.9888
RUB,MXN,0.284055,0.284305,0.28418
RUB,MYR,0.062216,0.0623148,0.0622654
RUB,NOK,0.123938,0.124076,0.124007
RUB,NZD,0.0232906,0.0233106,0.0233006
RUB,PLN,0.0561198,0.0561892,0.0561545
